dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,40.000000,19.830137,2.082380,6.444213,9.991027,0.000000,1.570796
0.010000,40.000000,19.895079,2.147322,6.544123,9.991027,0.000000,1.570796
0.010000,40.000000,19.961020,2.213262,6.644033,9.991027,0.000000,1.570796
0.010000,40.000000,20.027960,2.280202,6.743943,9.991027,-0.000000,1.570796
0.010000,40.000000,20.095899,2.348141,6.843854,9.991027,0.000000,1.570796
0.010000,40.000000,20.164837,2.417079,6.943764,9.991027,-0.000000,1.570796
0.010000,40.000000,20.234774,2.487016,7.043674,9.991027,0.000000,1.570796
0.010000,40.000000,20.305710,2.557953,7.143585,9.991027,-0.000000,1.570796
0.010000,40.000000,20.377646,2.629888,7.243495,9.991027,0.000000,1.570796
0.010000,40.000000,20.450580,2.702823,7.343405,9.991027,-0.000000,1.570796
0.010000,40.000000,20.524514,2.776756,7.443315,9.991027,0.000000,1.570796
0.010000,40.000000,20.599446,2.851689,7.543226,9.991027,0.000000,1.570796
0.010000,40.000000,20.675378,2.927621,7.643136,9.991027,-0.000000,1.570796
0.010000,40.000000,20.752309,3.004552,7.743046,9.991027,0.000000,1.570796
0.010000,40.000000,20.830239,3.082482,7.842956,9.991027,0.000000,1.570796
0.010000,40.000000,20.909168,3.161411,7.942867,9.991027,0.000000,1.570796
0.010000,40.000000,20.989097,3.241339,8.042777,9.991027,0.000000,1.570796
0.010000,40.000000,21.070024,3.322266,8.142687,9.991027,0.000000,1.570796
0.010000,40.000000,21.151950,3.404193,8.242598,9.991027,0.000000,1.570796
0.010000,40.000000,21.234876,3.487118,8.342508,9.991027,0.000000,1.570796
0.010000,40.000000,21.318800,3.571043,8.442418,9.991027,0.000000,1.570796
0.010000,40.000000,21.403724,3.655967,8.542328,9.991027,0.000000,1.570796
0.010000,40.000000,21.489647,3.741890,8.642239,9.991027,-0.000000,1.570796
0.010000,40.000000,21.576569,3.828811,8.742149,9.991027,0.000000,1.570796
0.010000,40.000000,21.664490,3.916732,8.842059,9.991027,0.000000,1.570796
0.010000,40.000000,21.753410,4.005653,8.941969,9.991027,0.000000,1.570796
0.010000,40.000000,21.843329,4.095572,9.041880,9.991027,-0.000000,1.570796
0.010000,40.000000,21.934248,4.186490,9.141790,9.991027,0.000000,1.570796
0.010000,40.000000,22.026165,4.278408,9.241700,9.991027,-0.000000,1.570796
0.010000,40.000000,22.119082,4.371324,9.341611,9.991027,0.000000,1.570796
0.010000,40.000000,22.212997,4.465240,9.441521,9.991027,-0.000000,1.570796
0.010000,40.000000,22.307912,4.560155,9.541431,9.991027,0.000000,1.570796
